01/10/2006	100721
01/11/2006	93850
01/12/2006	85031
01/01/2007	79009
01/02/2007	78501
01/03/2007	87421
01/04/2007	93644
01/05/2007	99690
01/06/2007	105020
01/07/2007	106779
01/08/2007	109573
01/09/2007	104744
01/10/2007	104313
01/11/2007	94934
01/12/2007	84325
01/01/2008	78039
01/02/2008	77921
01/03/2008	83384
01/04/2008	89092
01/05/2008	93316
01/06/2008	97882
01/07/2008	100234
01/08/2008	100366
01/09/2008	97303
01/10/2008	96609
01/11/2008	86093
01/12/2008	77112
01/01/2009	67736
01/02/2009	67479
01/03/2009	72448
01/04/2009	75500
01/05/2009	77225
01/06/2009	82575
01/07/2009	84351
01/08/2009	84876
01/09/2009	82442
01/10/2009	80337
01/11/2009	71882
01/12/2009	64916
01/01/2010	55647
01/02/2010	55268
01/03/2010	61274
01/04/2010	66834
01/05/2010	69280
01/06/2010	75182
01/07/2010	74277
01/08/2010	76889
01/09/2010	76142
01/10/2010	73666
01/11/2010	67608
01/12/2010	60898
01/01/2011	51208
01/02/2011	51232
01/03/2011	57374
01/04/2011	61806
01/05/2011	65689
01/06/2011	72754
01/07/2011	72513
01/08/2011	77261
01/09/2011	76121
01/10/2011	74042
01/11/2011	68444
01/12/2011	62794
01/01/2012	56833
01/02/2012	57226
01/03/2012	62056
01/04/2012	67283
01/05/2012	72523
01/06/2012	77908
01/07/2012	78650
01/08/2012	81516
01/09/2012	79783
01/10/2012	80703
01/11/2012	73495
01/12/2012	66427
01/01/2013	59372
01/02/2013	59462
01/03/2013	64790
01/04/2013	71250
01/05/2013	76461
01/06/2013	81693
01/07/2013	85069
01/08/2013	87533
01/09/2013	86544
01/10/2013	87305
01/11/2013	80470
01/12/2013	74635
01/01/2014	68096
01/02/2014	67638
01/03/2014	74653
01/04/2014	81575
01/05/2014	86368
01/06/2014	91505
01/07/2014	93381
01/08/2014	94100
01/09/2014	94062
01/10/2014	95774
01/11/2014	87118
01/12/2014	81022
01/01/2015	73376
01/02/2015	74034
01/03/2015	83158
01/04/2015	90910
01/05/2015	97333
01/06/2015	105659
01/07/2015	106451
01/08/2015	107500
01/09/2015	106384
01/10/2015	104002
01/11/2015	95261
01/12/2015	88049
01/01/2016	80001
01/02/2016	82432
01/03/2016	91924
01/04/2016	96614
01/05/2016	102564
01/06/2016	110994
01/07/2016	110931
01/08/2016	112959
01/09/2016	111866
01/10/2016	110932
01/11/2016	105588
01/12/2016	96341
01/01/2017	87395
01/02/2017	89404
01/03/2017	99300
01/04/2017	103437
01/05/2017	111213
01/06/2017	116270
01/07/2017	116873
01/08/2017	117941
01/09/2017	115692
01/10/2017	114206
01/11/2017	109340
01/12/2017	98770
01/01/2018	93933
01/02/2018	95693
01/03/2018	105159
01/04/2018	110800
01/05/2018	117944
01/06/2018	121653
01/07/2018	122236
01/08/2018	124058
01/09/2018	119254
01/10/2018	116517
01/11/2018	108740
01/12/2018	97197
01/01/2019	91891
01/02/2019	92904
01/03/2019	102949
01/04/2019	110679
01/05/2019	117997
01/06/2019	124634
01/07/2019	129454
01/08/2019	131619
01/09/2019	129383
01/10/2019	127326
01/11/2019	121672
01/12/2019	110530
01/01/2020	106218
01/02/2020	107295
01/03/2020	117793
01/04/2020	119926
01/05/2020	125114
01/06/2020	132608
01/07/2020	135287
01/08/2020	137555
01/09/2020	136354
01/10/2020	135012
01/11/2020	128438
01/12/2020	117970
01/01/2021	113425
01/02/2021	111728
01/03/2021	127095
01/04/2021	133175
01/05/2021	140665
01/06/2021	148786
01/07/2021	152128
01/08/2021	153944
01/09/2021	150442
01/10/2021	147631
01/11/2021	143099
01/12/2021	131260
01/01/2022	127951
01/02/2022	130538
01/03/2022	148686
01/04/2022	158117
01/05/2022	167862
01/06/2022	174750
01/07/2022	176177
01/08/2022	177867
01/09/2022	171905
01/10/2022	166908
01/11/2022	157933
01/12/2022	144009
01/01/2023	137366
01/02/2023	137946
01/03/2023	154961
01/04/2023	163021
01/05/2023	175347
01/06/2023	183880
01/07/2023	184859
01/08/2023	189655
01/09/2023	184366
01/10/2023	181833
01/11/2023	172750
01/12/2023	157679
01/01/2024	151740
01/02/2024	153048
01/03/2024	167395
01/04/2024	179068
01/05/2024	190293
01/06/2024	194475
01/07/2024	195464
01/08/2024	196973
